show_id,title,type,genres,year_added,rating
10192,Shrek Forever After,movie,Comedy,2010,6.38
10192,Shrek Forever After,movie,Adventure,2010,6.38
10192,Shrek Forever After,movie,Fantasy,2010,6.38
10192,Shrek Forever After,movie,Animation,2010,6.38
10192,Shrek Forever After,movie,Family,2010,6.38
27205,Inception,movie,Action,2010,8.369
27205,Inception,movie,Science Fiction,2010,8.369
27205,Inception,movie,Adventure,2010,8.369
12444,Harry Potter and the Deathly Hallows: Part 1,movie,Adventure,2010,7.744
12444,Harry Potter and the Deathly Hallows: Part 1,movie,Fantasy,2010,7.744
38757,Tangled,movie,Animation,2010,7.6
38757,Tangled,movie,Family,2010,7.6
38757,Tangled,movie,Adventure,2010,7.6
10191,How to Train Your Dragon,movie,Fantasy,2010,7.8
10191,How to Train Your Dragon,movie,Adventure,2010,7.8
10191,How to Train Your Dragon,movie,Animation,2010,7.8
10191,How to Train Your Dragon,movie,Family,2010,7.8
11324,Shutter Island,movie,Drama,2010,8.2
11324,Shutter Island,movie,Thriller,2010,8.2
11324,Shutter Island,movie,Mystery,2010,8.2
38575,The Karate Kid,movie,Action,2010,6.5
38575,The Karate Kid,movie,Adventure,2010,6.5
38575,The Karate Kid,movie,Drama,2010,6.5
38575,The Karate Kid,movie,Family,2010,6.5
10138,Iron Man 2,movie,Adventure,2010,6.8
10138,Iron Man 2,movie,Action,2010,6.8
10138,Iron Man 2,movie,Science Fiction,2010,6.8
38365,Grown Ups,movie,Comedy,2010,6.394
48650,Room in Rome,movie,Drama,2010,6.416
48650,Room in Rome,movie,Romance,2010,6.416
20352,Despicable Me,movie,Animation,2010,7.2
20352,Despicable Me,movie,Family,2010,7.2
20352,Despicable Me,movie,Comedy,2010,7.2
10193,Toy Story 3,movie,Animation,2010,7.8
10193,Toy Story 3,movie,Family,2010,7.8
10193,Toy Story 3,movie,Comedy,2010,7.8
24021,The Twilight Saga: Eclipse,movie,Adventure,2010,6.204
24021,The Twilight Saga: Eclipse,movie,Fantasy,2010,6.204
24021,The Twilight Saga: Eclipse,movie,Drama,2010,6.204
24021,The Twilight Saga: Eclipse,movie,Romance,2010,6.204
12155,Alice in Wonderland,movie,Family,2010,6.6
12155,Alice in Wonderland,movie,Fantasy,2010,6.6
12155,Alice in Wonderland,movie,Adventure,2010,6.6
73861,A Serbian Film,movie,Crime,2010,5.471
73861,A Serbian Film,movie,Horror,2010,5.471
73861,A Serbian Film,movie,Thriller,2010,5.471
38234,Undisputed III: Redemption,movie,Action,2010,7.517
38234,Undisputed III: Redemption,movie,Thriller,2010,7.517
38234,Undisputed III: Redemption,movie,Crime,2010,7.517
38234,Undisputed III: Redemption,movie,Drama,2010,7.517
37799,The Social Network,movie,Drama,2010,7.368
61979,Three Steps Above Heaven,movie,Romance,2010,7.7
61979,Three Steps Above Heaven,movie,Drama,2010,7.7
32657,Percy Jackson & the Olympians: The Lightning Thief,movie,Adventure,2010,6.21
32657,Percy Jackson & the Olympians: The Lightning Thief,movie,Fantasy,2010,6.21
32657,Percy Jackson & the Olympians: The Lightning Thief,movie,Family,2010,6.21
23168,The Town,movie,Crime,2010,7.2
23168,The Town,movie,Drama,2010,7.2
23168,The Town,movie,Thriller,2010,7.2
34851,Predators,movie,Science Fiction,2010,6.3
34851,Predators,movie,Action,2010,6.3
34851,Predators,movie,Thriller,2010,6.3
38055,Megamind,movie,Animation,2010,6.999
38055,Megamind,movie,Action,2010,6.999
38055,Megamind,movie,Comedy,2010,6.999
38055,Megamind,movie,Family,2010,6.999
38055,Megamind,movie,Science Fiction,2010,6.999
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,movie,Adventure,2010,6.4
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,movie,Family,2010,6.4
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,movie,Fantasy,2010,6.4
27578,The Expendables,movie,Thriller,2010,6.248
27578,The Expendables,movie,Adventure,2010,6.248
27578,The Expendables,movie,Action,2010,6.248
18823,Clash of the Titans,movie,Adventure,2010,5.9
18823,Clash of the Titans,movie,Fantasy,2010,5.9
18823,Clash of the Titans,movie,Action,2010,5.9
44214,Black Swan,movie,Drama,2010,7.7
44214,Black Swan,movie,Thriller,2010,7.7
44214,Black Swan,movie,Horror,2010,7.7
23483,Kick-Ass,movie,Action,2010,7.122
23483,Kick-Ass,movie,Crime,2010,7.122
20526,TRON: Legacy,movie,Adventure,2010,6.5
20526,TRON: Legacy,movie,Action,2010,6.5
20526,TRON: Legacy,movie,Science Fiction,2010,6.5
52629,El Infierno,movie,Action,2010,7.9
52629,El Infierno,movie,Crime,2010,7.9
52629,El Infierno,movie,Western,2010,7.9
52629,El Infierno,movie,Comedy,2010,7.9
52629,El Infierno,movie,Drama,2010,7.9
26389,From Paris with Love,movie,Action,2010,6.27
26389,From Paris with Love,movie,Crime,2010,6.27
26389,From Paris with Love,movie,Thriller,2010,6.27
10196,The Last Airbender,movie,Action,2010,4.6
10196,The Last Airbender,movie,Adventure,2010,4.6
10196,The Last Airbender,movie,Fantasy,2010,4.6
27581,The Other Guys,movie,Action,2010,6.3
27581,The Other Guys,movie,Comedy,2010,6.3
27581,The Other Guys,movie,Crime,2010,6.3
27581,The Other Guys,movie,Thriller,2010,6.3
47931,Elite Squad: The Enemy Within,movie,Drama,2010,7.811
47931,Elite Squad: The Enemy Within,movie,Action,2010,7.811
47931,Elite Squad: The Enemy Within,movie,Crime,2010,7.811
9543,Prince of Persia: The Sands of Time,movie,Adventure,2010,6.3
9543,Prince of Persia: The Sands of Time,movie,Fantasy,2010,6.3
9543,Prince of Persia: The Sands of Time,movie,Action,2010,6.3
22538,Scott Pilgrim vs. the World,movie,Action,2010,7.491
22538,Scott Pilgrim vs. the World,movie,Comedy,2010,7.491
22538,Scott Pilgrim vs. the World,movie,Romance,2010,7.491
22894,Legion,movie,Horror,2010,5.9
22894,Legion,movie,Action,2010,5.9
22894,Legion,movie,Fantasy,2010,5.9
51608,The Man from Nowhere,movie,Action,2010,7.7
51608,The Man from Nowhere,movie,Thriller,2010,7.7
51608,The Man from Nowhere,movie,Crime,2010,7.7
43947,I Spit on Your Grave,movie,Thriller,2010,6.5
43947,I Spit on Your Grave,movie,Crime,2010,6.5
43947,I Spit on Your Grave,movie,Horror,2010,6.5
44115,127 Hours,movie,Adventure,2010,7.1
44115,127 Hours,movie,Drama,2010,7.1
44115,127 Hours,movie,Thriller,2010,7.1
39514,RED,movie,Action,2010,6.7
39514,RED,movie,Adventure,2010,6.7
39514,RED,movie,Comedy,2010,6.7
39514,RED,movie,Crime,2010,6.7
39514,RED,movie,Thriller,2010,6.7
573531,Halo Legends,movie,Animation,2010,7.3
573531,Halo Legends,movie,War,2010,7.3
573531,Halo Legends,movie,Action,2010,7.3
573531,Halo Legends,movie,Science Fiction,2010,7.3
35552,The Extraordinary Adventures of Adèle Blanc-Sec,movie,Fantasy,2010,6.2
35552,The Extraordinary Adventures of Adèle Blanc-Sec,movie,Adventure,2010,6.2
35552,The Extraordinary Adventures of Adèle Blanc-Sec,movie,Action,2010,6.2
35552,The Extraordinary Adventures of Adèle Blanc-Sec,movie,Mystery,2010,6.2
27576,Salt,movie,Action,2010,6.4
27576,Salt,movie,Mystery,2010,6.4
27576,Salt,movie,Thriller,2010,6.4
46738,Incendies,movie,Drama,2010,8.1
46738,Incendies,movie,War,2010,8.1
46738,Incendies,movie,Mystery,2010,8.1
44918,Titanic II,movie,Action,2010,5.0
44918,Titanic II,movie,Thriller,2010,5.0
44918,Titanic II,movie,Romance,2010,5.0
44918,Titanic II,movie,Adventure,2010,5.0
43949,Flipped,movie,Romance,2010,8.016
43949,Flipped,movie,Drama,2010,8.016
43347,Love & Other Drugs,movie,Drama,2010,7.0
43347,Love & Other Drugs,movie,Comedy,2010,7.0
43347,Love & Other Drugs,movie,Romance,2010,7.0
35019,Nanny McPhee and the Big Bang,movie,Comedy,2010,6.3
35019,Nanny McPhee and the Big Bang,movie,Fantasy,2010,6.3
35019,Nanny McPhee and the Big Bang,movie,Family,2010,6.3
43593,Piranha 3D,movie,Comedy,2010,5.4
43593,Piranha 3D,movie,Horror,2010,5.4
44683,Tinker Bell and the Great Fairy Rescue,movie,Animation,2010,6.7
44683,Tinker Bell and the Great Fairy Rescue,movie,Adventure,2010,6.7
44683,Tinker Bell and the Great Fairy Rescue,movie,Family,2010,6.7
44683,Tinker Bell and the Great Fairy Rescue,movie,Fantasy,2010,6.7
20504,The Book of Eli,movie,Action,2010,6.8
20504,The Book of Eli,movie,Thriller,2010,6.8
20504,The Book of Eli,movie,Science Fiction,2010,6.8
7978,The Wolfman,movie,Horror,2010,5.9
7978,The Wolfman,movie,Thriller,2010,5.9
48466,Scared Shrekless,movie,Animation,2010,6.7
48466,Scared Shrekless,movie,Comedy,2010,6.7
48466,Scared Shrekless,movie,Family,2010,6.7
34544,The A-Team,movie,Action,2010,6.397
34544,The A-Team,movie,Comedy,2010,6.397
34544,The A-Team,movie,Crime,2010,6.397
38167,Eat Pray Love,movie,Drama,2010,6.241
38167,Eat Pray Love,movie,Romance,2010,6.241
72641,Azureus Rising,movie,Science Fiction,2010,6.2
72641,Azureus Rising,movie,Animation,2010,6.2
